SA1_7DIGITCODE_2016,M_15_19_Marr_a_reg_marr,M_15_19_Marr_a_de_facto_marr,M_15_19_yr_N_married,M_15_19_yr_Tot,M_20_24_Marr_a_reg_marr,M_20_24_Marr_a_de_facto_marr,M_20_24_yr_N_married,M_20_24_yr_Tot,M_25_34_Marr_a_reg_marr,M_25_34_Marr_a_de_facto_marr,M_25_34_yr_N_married,M_25_34_yr_Tot,M_35_44_Marr_a_reg_marr,M_35_44_Marr_a_de_facto_marr,M_35_44_yr_N_married,M_35_44_yr_Tot,M_45_54_Marr_a_reg_marr,M_45_54_Marr_a_de_facto_marr,M_45_54_yr_N_married,M_45_54_yr_Tot,M_55_64_Marr_a_reg_marr,M_55_64_Marr_a_de_facto_marr,M_55_64_yr_N_married,M_55_64_yr_Tot,M_65_74_Marr_a_reg_marr,M_65_74_Marr_a_de_facto_marr,M_65_74_yr_N_married,M_65_74_yr_Tot,M_75_84_Marr_a_reg_marr,M_75_84_Marr_a_de_facto_marr,M_75_84_yr_N_married,M_75_84_yr_Tot,M_85_over_Marr_a_reg_marr,M_85_Marr_a_de_facto_marr,M_85_yr_over_N_married,M_85_yr_over_Tot,M_Tot_Marr_a_reg_marr,M_Tot_Marr_a_de_facto_marr,M_Tot_N_married,M_Tot_Tot,F_15_19_Marr_a_reg_marr,F_15_19_Marr_a_de_facto_marr,F_15_19_yr_N_married,F_15_19_yr_Tot,F_20_24_Marr_a_reg_marr,F_20_24_Marr_a_de_facto_marr,F_20_24_yr_N_married,F_20_24_yr_Tot,F_25_34_Marr_a_reg_marr,F_25_34_Marr_a_de_facto_marr,F_25_34_yr_N_married,F_25_34_yr_Tot,F_35_44_Marr_a_reg_marr,F_35_44_Marr_a_de_facto_marr,F_35_44_yr_N_married,F_35_44_yr_Tot,F_45_54_Marr_a_reg_marr,F_45_54_Marr_a_de_facto_marr,F_45_54_yr_N_married,F_45_54_yr_Tot,F_55_64_Marr_a_reg_marr,F_55_64_Marr_a_de_facto_marr,F_55_64_yr_N_married,F_55_64_yr_Tot,F_65_74_Marr_a_reg_marr,F_65_74_Marr_a_de_facto_marr,F_65_74_yr_N_married,F_65_74_yr_Tot,F_75_84_Marr_a_reg_marr,F_75_84_Marr_a_de_facto_marr,F_75_84_yr_N_married,F_75_84_yr_Tot,F_85_over_Marr_a_reg_marr,F_85_Marr_a_de_facto_marr,F_85_yr_over_N_married,F_85_yr_over_Tot,F_Tot_Marr_a_reg_marr,F_Tot_Marr_a_de_facto_marr,F_Tot_N_married,F_Tot_Tot,P_15_19_Marr_a_reg_marr,P_15_19_Marr_a_de_facto_marr,P_15_19_yr_N_married,P_15_19_yr_Tot,P_20_24_Marr_a_reg_marr,P_20_24_Marr_a_de_facto_marr,P_20_24_yr_N_married,P_20_24_yr_Tot,P_25_34_Marr_a_reg_marr,P_25_34_Marr_a_de_facto_marr,P_25_34_yr_N_married,P_25_34_yr_Tot,P_35_44_Marr_a_reg_marr,P_35_44_Marr_a_de_facto_marr,P_35_44_yr_N_married,P_35_44_yr_Tot,P_45_54_Marr_a_reg_marr,P_45_54_Marr_a_de_facto_marr,P_45_54_yr_N_married,P_45_54_yr_Tot,P_55_64_Marr_a_reg_marr,P_55_64_Marr_a_de_facto_marr,P_55_64_yr_N_married,P_55_64_yr_Tot,P_65_74_Marr_a_reg_marr,P_65_74_Marr_a_de_facto_marr,P_65_74_yr_N_married,P_65_74_yr_Tot,P_75_84_Marr_a_reg_marr,P_75_84_Marr_a_de_facto_marr,P_75_84_yr_N_married,P_75_84_yr_Tot,P_85_over_Marr_a_reg_marr,P_85_Marr_a_de_facto_marr,P_85_yr_over_N_married,P_85_yr_over_Tot,P_Tot_Marr_a_reg_marr,P_Tot_Marr_a_de_facto_marr,P_Tot_N_married,P_Tot_Tot
5104118,0,0,9,9,0,3,21,24,22,35,57,113,11,3,19,34,0,0,7,9,3,3,9,18,3,0,3,3,0,0,0,0,0,0,0,0,45,45,116,211,0,0,3,3,0,6,14,25,30,24,47,100,9,0,9,22,9,0,5,10,3,0,3,9,0,0,4,7,0,0,0,3,0,0,0,0,46,38,96,176,0,0,11,14,0,14,34,48,56,58,109,219,24,7,27,57,11,0,11,25,5,3,11,22,3,0,4,12,3,0,0,3,0,0,0,0,97,78,214,386
5104119,0,0,11,11,0,0,7,7,4,6,12,25,12,4,4,15,9,3,9,17,13,3,3,21,4,0,3,7,3,0,0,4,0,0,0,0,43,18,54,118,0,0,10,10,0,0,9,13,7,3,19,27,9,0,6,18,13,3,5,19,9,3,5,20,3,4,3,13,6,0,3,10,0,0,0,0,43,16,61,123,0,0,20,20,0,0,21,19,5,10,30,55,21,4,11,38,19,7,12,36,27,7,11,44,4,3,7,20,10,0,3,13,0,0,0,3,94,30,115,243
5104120,0,0,14,14,0,10,28,33,23,48,84,147,33,19,25,73,20,4,21,41,8,6,23,37,5,0,13,20,5,0,9,14,0,0,0,0,89,87,200,378,0,0,8,13,3,10,36,48,28,48,73,146,27,14,19,54,23,5,15,42,7,0,4,19,5,0,3,12,0,0,13,12,0,0,3,3,96,70,177,341,0,0,24,25,3,14,62,82,44,92,151,290,52,29,46,127,40,8,35,87,16,7,25,53,15,0,19,33,10,0,16,21,0,0,3,3,186,159,380,719
5104122,0,0,5,5,0,0,12,19,21,19,38,77,13,12,19,49,5,4,19,27,10,0,17,23,8,0,3,15,3,0,4,5,0,0,0,0,49,38,123,214,0,0,4,4,3,4,13,22,25,24,23,69,10,3,19,33,4,3,9,21,6,0,10,21,7,0,3,12,0,0,7,7,0,0,0,0,50,35,93,177,0,0,6,6,4,6,32,39,41,46,65,145,26,11,34,77,8,8,26,42,15,0,24,37,11,3,10,21,3,0,11,12,0,0,3,3,102,71,215,388
5104123,0,0,3,3,0,3,9,16,19,17,36,69,11,6,24,39,5,4,19,26,5,0,5,14,0,0,4,7,0,0,4,4,0,0,0,0,44,26,101,171,0,0,0,0,0,3,18,18,23,15,21,57,6,8,13,30,5,0,14,19,0,0,3,5,0,0,3,3,0,0,0,5,0,0,0,0,39,30,82,146,0,0,8,6,3,7,28,34,33,31,56,126,17,11,39,65,18,4,31,50,3,4,15,19,3,0,7,7,3,0,8,9,0,0,3,3,80,55,186,322
5104124,0,0,0,0,0,3,8,12,16,17,36,67,11,3,12,29,0,3,6,11,0,0,3,8,0,0,3,3,3,0,3,3,0,0,0,0,36,27,76,136,0,0,3,3,0,5,4,10,20,12,17,59,4,0,4,15,0,0,5,5,3,3,3,12,0,0,8,9,0,0,0,3,0,0,0,0,37,29,53,110,0,0,5,5,0,11,15,21,44,28,53,125,18,7,20,41,0,4,15,18,3,6,10,15,3,0,7,12,4,0,3,10,0,0,0,0,67,55,126,252
5104125,0,0,4,4,0,0,9,8,8,11,19,43,6,0,6,13,3,3,3,11,5,0,3,11,3,4,0,9,3,0,3,8,0,0,0,0,23,19,54,107,0,0,4,4,0,5,8,9,7,12,18,41,3,0,7,11,4,0,3,12,4,3,11,15,0,0,5,7,0,0,4,3,0,0,3,3,25,20,63,104,0,0,6,6,0,4,11,17,15,27,41,85,10,0,10,19,5,3,12,19,11,3,12,28,3,3,7,14,3,0,7,8,0,0,3,3,51,41,119,209
5104127,0,0,10,10,0,7,16,21,36,37,52,125,19,10,17,49,9,0,15,24,5,0,13,21,4,0,5,11,6,0,4,10,0,0,0,0,79,55,140,278,0,0,14,14,0,10,15,19,38,34,61,132,17,9,24,53,15,0,17,31,8,3,17,24,8,0,10,12,0,0,6,4,0,0,4,4,80,57,160,295,0,0,18,18,0,12,36,47,73,77,111,262,40,15,49,103,24,0,35,57,13,4,21,39,14,0,13,27,5,0,13,14,0,0,4,4,162,112,301,574
5104128,0,0,0,0,0,3,20,23,12,27,63,100,8,8,19,40,8,3,11,17,4,3,12,19,0,0,0,4,0,0,0,0,0,0,0,0,35,42,129,203,0,0,0,0,0,3,26,28,19,29,65,112,10,4,17,29,3,0,9,15,5,0,12,17,0,0,3,4,0,0,0,0,0,0,3,0,34,41,136,213,0,0,3,3,0,6,45,52,34,54,127,206,13,19,35,64,8,3,18,34,8,4,20,31,0,0,4,8,0,0,0,0,4,0,3,6,68,82,264,419
5104130,0,0,3,3,3,4,20,24,17,15,40,74,19,6,22,43,16,10,11,32,9,10,4,26,12,0,6,17,5,0,6,8,0,0,0,3,76,47,115,242,0,0,4,4,0,0,24,25,20,15,36,73,14,5,16,46,10,9,4,18,12,12,14,31,7,0,8,16,3,0,3,6,0,0,3,3,74,43,108,226,0,0,6,6,3,4,36,47,33,31,84,146,33,14,37,88,19,16,18,53,22,22,14,60,22,0,15,36,8,0,8,18,0,0,0,6,145,91,226,464
5104132,0,0,5,5,0,3,10,14,15,18,20,55,23,3,10,35,13,5,7,20,8,4,12,26,10,3,8,18,3,0,3,7,0,0,4,3,64,38,71,179,0,0,0,0,0,3,10,16,25,24,15,66,15,10,16,39,6,0,14,18,7,4,9,22,8,0,6,10,6,0,4,9,0,0,4,4,68,39,76,187,0,0,9,9,0,7,17,30,39,41,41,114,36,13,24,71,20,7,23,42,15,7,18,45,16,3,15,31,4,0,11,17,0,0,3,7,133,83,151,361
5104133,0,0,4,4,0,0,20,18,15,24,48,88,12,4,15,33,9,3,15,24,3,3,7,17,5,0,3,9,4,0,0,4,0,0,0,0,54,37,116,202,0,0,6,6,0,0,23,23,15,27,46,95,14,3,11,26,6,3,19,23,6,0,11,17,11,0,9,15,0,0,0,0,0,0,0,0,54,39,119,208,0,0,9,9,0,3,39,38,32,54,100,183,22,9,28,61,19,3,28,49,13,3,20,29,13,0,13,28,5,0,0,5,0,0,0,0,107,76,235,417
5104134,0,0,10,10,0,3,17,19,8,23,48,80,15,17,10,41,9,3,12,23,14,0,13,31,3,0,3,8,0,0,6,9,0,0,0,0,57,48,111,221,0,0,4,4,0,0,10,15,14,25,30,70,16,10,15,39,7,3,7,23,14,0,12,23,4,3,7,13,0,0,0,3,0,0,3,3,55,46,93,193,0,0,13,13,0,4,26,36,21,51,77,156,34,21,25,86,16,5,20,46,26,3,23,54,8,3,11,18,3,0,9,12,0,0,3,3,112,99,202,419
5104135,0,0,4,4,0,0,24,22,14,22,37,72,11,3,19,33,0,0,15,18,3,0,8,6,4,0,3,9,0,0,3,3,0,0,0,0,35,31,102,162,0,0,3,3,0,0,22,21,19,24,40,80,8,0,8,16,0,0,4,6,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,35,27,77,139,0,0,6,6,0,0,43,42,34,46,75,154,19,3,27,49,7,3,12,18,3,0,6,12,4,0,3,7,0,0,3,5,0,0,0,0,67,57,178,299
5104138,0,0,0,3,0,3,14,17,7,7,8,27,10,0,3,8,0,0,3,8,4,3,3,9,4,0,10,8,3,0,0,3,0,0,0,0,26,21,42,87,0,0,3,3,0,0,13,15,15,7,11,29,3,0,6,12,3,3,7,11,0,3,3,3,0,0,0,0,3,0,3,4,0,0,0,0,26,18,44,87,0,0,3,3,0,5,21,28,23,18,16,59,14,0,12,27,7,3,13,20,3,6,3,15,8,0,10,11,3,0,6,6,0,0,0,0,50,39,89,177
5104139,0,0,0,0,0,3,21,23,7,6,34,43,18,6,7,29,4,0,6,17,5,3,5,15,10,0,3,10,0,0,4,4,0,0,0,0,44,18,80,143,0,0,6,6,0,3,6,7,17,10,32,59,9,3,3,12,4,8,7,14,10,0,7,13,7,0,7,16,0,0,7,5,0,0,0,0,46,22,67,138,0,0,11,11,0,4,27,29,22,12,61,101,24,10,13,40,10,6,11,29,14,3,11,25,12,0,12,26,4,0,11,11,0,0,3,3,89,38,152,282
5104140,0,0,3,3,0,3,8,6,12,5,8,27,7,3,9,19,6,0,9,14,12,3,4,26,17,3,6,24,8,3,0,10,0,0,0,5,70,25,40,137,0,0,3,3,0,0,3,9,16,7,8,34,4,3,6,20,10,0,6,17,15,3,3,17,15,0,4,24,3,0,3,11,0,0,0,0,74,19,39,131,0,0,6,6,0,3,12,15,28,13,21,59,18,3,10,34,13,5,9,29,30,10,5,45,38,3,6,44,11,3,3,21,0,0,0,6,145,42,83,263
5104143,0,0,0,0,0,0,14,17,20,11,28,55,11,0,7,22,3,4,10,18,4,0,6,10,3,0,6,7,0,0,3,3,0,0,0,0,35,15,78,132,0,0,0,0,8,0,5,17,15,15,20,53,7,4,5,18,3,0,5,5,0,3,8,9,0,0,3,9,0,0,3,3,0,0,0,0,38,23,51,110,0,0,0,0,8,3,23,30,30,23,51,109,18,4,16,36,4,4,16,23,6,3,9,17,6,0,11,13,0,0,6,6,0,0,0,0,80,36,130,245
5104145,0,0,7,7,0,0,15,20,22,20,51,95,18,3,17,42,17,0,8,30,17,7,8,34,10,0,10,20,8,0,8,9,0,0,4,4,89,36,132,263,0,0,8,7,0,0,27,27,33,31,37,95,22,9,12,41,15,3,11,30,14,6,8,29,5,0,5,15,3,0,3,8,0,0,0,0,94,41,118,254,0,0,9,11,0,8,39,48,54,52,90,189,41,13,34,82,38,7,18,64,28,8,21,60,15,0,19,33,11,0,13,21,0,0,6,6,184,82,249,514
5104146,0,0,0,0,0,8,25,36,35,39,74,142,9,3,13,26,9,3,11,20,12,5,15,24,3,0,3,7,0,0,0,0,0,0,0,0,68,59,138,266,0,0,4,5,3,15,13,38,35,26,36,99,14,7,9,22,3,3,5,11,11,5,6,19,4,0,7,6,0,0,0,0,0,0,0,0,67,53,78,205,0,0,9,8,3,25,45,73,67,67,108,236,24,11,22,50,15,6,15,40,20,12,19,49,6,0,10,18,0,0,0,0,0,0,0,0,138,115,223,475
5104147,0,0,0,0,0,0,9,13,8,11,30,43,5,9,12,25,7,5,9,21,8,0,4,8,3,0,6,9,0,0,3,0,0,0,0,0,24,26,66,120,0,0,0,0,0,4,9,12,3,14,13,31,14,0,9,19,5,0,3,13,9,0,6,14,0,0,7,7,0,0,3,6,0,0,4,4,29,20,56,95,0,0,0,0,0,3,20,21,9,23,40,72,14,11,12,43,9,3,17,30,14,0,7,20,3,0,12,9,0,0,5,10,0,0,4,4,50,40,122,217
5104148,0,0,0,0,0,0,10,10,3,10,22,39,15,0,17,28,7,0,6,15,6,3,7,14,4,0,0,3,0,0,0,3,0,0,0,0,33,13,61,110,0,0,6,6,0,0,9,12,14,9,32,49,11,3,9,29,4,0,3,14,4,3,7,15,3,0,8,9,0,0,0,0,0,0,0,0,30,18,73,125,0,0,3,3,0,0,21,20,13,18,54,83,23,3,29,56,9,3,12,28,13,5,14,31,4,0,8,14,0,0,3,4,0,0,0,0,67,32,137,237
5104149,0,0,8,8,0,5,28,32,21,35,60,113,16,7,18,38,6,0,16,25,8,0,10,12,5,3,3,7,0,0,0,0,0,0,0,0,54,52,131,239,0,0,12,12,0,12,19,31,29,21,52,102,16,3,16,37,0,0,15,19,6,0,4,14,3,0,3,4,3,0,0,3,0,0,0,0,54,45,117,210,0,0,17,17,0,22,41,61,51,57,104,214,31,9,34,76,14,3,22,37,12,0,16,27,8,3,7,16,3,0,0,3,0,0,0,0,111,96,248,446
5104150,0,0,8,8,0,3,17,19,19,11,44,70,3,4,12,20,4,0,10,17,4,0,15,20,3,0,16,19,3,0,7,10,0,0,0,0,36,13,122,176,0,0,3,3,0,4,9,15,23,8,27,60,0,0,12,11,0,0,4,13,7,0,8,18,0,3,3,9,0,0,6,9,0,0,3,3,34,15,74,128,0,0,10,10,0,5,25,35,39,19,70,129,9,3,29,39,4,0,20,27,12,0,21,31,3,3,20,21,7,0,12,12,0,0,3,3,70,30,198,303
5104151,0,0,4,4,0,0,11,11,10,4,25,39,7,6,10,24,3,0,11,12,4,0,0,10,7,0,0,7,0,0,0,0,0,0,0,0,41,15,61,107,0,0,0,0,0,3,9,17,10,8,22,42,8,3,3,14,3,0,0,3,8,0,0,4,4,0,3,7,0,0,0,4,0,0,0,0,30,19,38,89,0,0,4,4,0,3,23,28,20,10,48,80,15,8,13,37,3,0,8,17,8,0,0,17,15,0,3,13,3,0,0,4,0,0,0,0,71,31,98,201
5104152,0,0,3,3,0,0,11,16,16,15,35,67,13,3,17,31,4,0,0,9,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,39,18,70,125,0,0,3,3,0,0,26,27,16,18,37,74,12,3,8,19,3,0,3,4,0,0,3,5,3,0,0,3,0,0,0,0,0,0,0,0,37,20,81,139,0,0,12,12,0,3,41,43,34,28,73,144,22,8,25,50,10,0,5,15,3,0,3,4,7,0,0,6,0,0,0,0,0,0,0,0,75,41,157,266
5104153,0,0,3,7,0,3,19,25,20,22,59,102,12,11,9,27,5,3,13,22,7,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,49,41,102,189,0,0,5,5,0,4,25,33,28,32,30,87,16,4,8,22,3,3,3,9,3,0,3,7,0,0,0,4,0,0,0,0,0,0,0,0,45,46,74,163,0,0,7,7,0,15,40,52,49,50,86,183,24,13,18,49,11,3,21,36,9,0,3,15,6,0,0,4,0,0,0,0,0,0,0,0,89,85,173,351
5104154,0,0,3,3,0,3,4,3,7,6,40,52,11,7,7,26,3,0,13,16,7,0,7,16,4,0,0,3,0,0,0,0,0,0,0,0,29,24,74,120,0,0,8,3,0,0,4,8,11,11,13,38,14,3,13,25,0,0,3,8,6,0,3,9,0,0,4,7,0,0,0,0,0,0,0,0,30,20,46,92,0,0,5,9,0,3,11,12,18,18,50,87,22,9,16,48,8,0,17,25,11,3,11,20,3,0,3,12,0,0,0,0,0,0,0,0,58,40,114,213
5104155,0,0,0,0,0,3,3,5,15,45,46,111,11,17,22,49,4,0,8,22,5,0,6,11,3,0,4,13,0,0,0,0,0,0,0,0,46,63,99,209,0,0,0,0,0,7,8,16,15,45,60,123,10,10,12,28,7,0,3,14,6,0,5,12,4,0,9,13,0,0,3,4,0,0,3,3,49,63,101,207,0,0,0,0,0,12,11,21,31,96,110,238,21,24,31,80,17,0,15,30,6,0,12,22,10,0,14,22,0,0,3,3,0,0,5,3,93,125,200,424
5104156,0,0,0,3,0,6,5,6,13,37,53,106,10,10,15,35,4,3,3,13,6,0,9,13,0,0,0,0,0,0,0,0,0,0,0,0,36,61,86,181,0,0,0,3,0,9,7,13,12,38,41,91,14,4,7,29,3,3,3,11,4,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,35,54,66,158,0,3,3,3,0,7,13,25,31,82,89,198,22,21,25,60,8,4,9,26,8,0,12,18,3,0,0,7,3,0,0,3,0,0,0,0,67,115,147,334
5104157,0,0,3,3,0,0,4,4,7,18,16,40,16,9,8,30,3,0,12,18,4,0,11,13,4,0,15,25,3,0,3,13,0,0,0,0,36,25,79,136,0,0,3,3,0,0,3,3,9,16,8,37,16,10,3,22,3,0,8,9,3,0,12,14,0,0,9,14,0,0,10,10,0,0,4,4,33,27,63,119,0,0,11,11,0,0,10,10,11,34,23,75,23,12,11,55,7,0,17,25,4,0,19,27,10,0,28,31,8,0,16,19,0,0,9,9,65,45,143,260
5104158,0,0,3,3,0,3,11,8,8,7,35,48,8,7,5,25,4,0,0,14,0,0,4,8,3,0,4,9,0,0,0,0,0,0,0,0,33,17,58,111,0,0,3,3,3,3,19,24,12,17,20,43,10,0,19,30,3,0,10,15,0,0,3,3,4,0,0,6,0,0,0,0,0,0,0,0,27,24,75,125,0,0,3,3,4,5,23,36,16,23,50,96,24,8,25,50,8,4,14,29,0,0,7,7,7,0,7,15,0,0,0,0,0,0,0,0,61,42,131,231
5104159,0,0,3,3,0,3,26,28,7,13,50,75,9,0,17,29,3,0,6,7,3,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,27,17,102,146,0,0,5,6,0,5,22,28,14,9,38,60,8,0,4,16,3,0,0,9,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,26,24,80,125,0,0,7,9,0,9,45,53,20,24,89,131,18,3,24,41,3,0,10,10,6,4,7,13,3,0,0,3,0,0,0,0,0,0,0,0,52,41,178,273
5104160,0,0,3,3,0,3,11,13,13,8,19,40,7,3,5,16,6,0,6,11,0,0,10,10,0,0,4,4,0,0,0,0,0,0,0,0,31,10,51,92,0,0,6,6,0,8,14,25,16,5,18,39,6,3,10,17,3,0,4,8,0,0,0,3,0,0,3,3,0,0,0,0,0,0,0,0,29,13,53,96,0,0,4,8,0,7,24,38,33,8,35,74,18,4,13,34,7,0,9,15,0,0,8,13,0,0,7,7,0,0,0,0,0,0,0,0,55,25,102,187
5104161,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,7,6
5104162,0,0,0,0,0,0,7,7,7,15,12,38,7,5,9,17,8,0,3,11,3,3,0,13,5,0,0,8,0,0,0,0,0,0,0,0,33,27,33,89,0,0,3,3,0,0,3,3,11,12,17,40,0,3,7,10,4,4,3,14,12,0,9,17,0,0,4,8,0,0,0,3,0,0,0,0,32,21,42,100,0,0,4,4,0,0,12,12,21,26,28,73,10,7,9,29,12,4,9,24,14,6,6,29,7,0,4,12,0,0,0,6,0,0,0,0,69,40,75,190
5104163,0,0,19,19,3,0,28,32,42,25,67,134,25,11,23,62,43,9,23,78,37,0,18,56,26,4,9,39,9,0,3,7,3,0,0,5,187,55,187,426,0,0,17,17,0,0,31,35,54,31,35,118,34,5,28,65,38,6,21,64,45,7,7,63,25,0,11,34,7,0,0,4,0,0,0,0,195,56,150,400,0,0,36,36,3,0,58,65,98,55,101,253,61,21,45,127,79,17,47,143,79,11,26,115,50,4,17,69,14,0,3,12,3,0,3,4,381,115,333,828
5104164,0,0,5,5,0,3,14,22,29,36,44,116,17,10,23,52,18,3,12,29,8,0,12,21,3,0,7,11,0,0,0,0,0,0,0,0,75,55,124,251,0,0,8,12,0,10,16,21,35,35,50,123,19,7,6,35,9,0,10,20,6,0,3,13,5,0,4,8,3,0,0,0,0,0,0,0,79,53,97,237,0,0,17,20,0,10,33,44,63,78,98,236,35,17,32,86,25,4,19,52,16,0,16,26,12,0,6,18,3,0,0,3,0,0,0,0,159,111,220,488
5104165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5104166,0,0,5,5,0,3,22,33,17,24,40,89,12,4,16,36,4,3,7,17,3,0,6,14,3,0,0,3,0,0,0,0,0,0,0,0,42,37,106,185,0,0,8,8,0,9,23,29,23,30,28,76,11,6,13,27,0,0,0,6,4,0,0,6,0,0,0,0,0,0,4,4,0,0,0,0,39,42,81,163,0,0,11,11,0,14,50,62,40,53,69,165,16,13,36,59,4,3,13,20,14,0,9,20,3,0,0,5,0,0,3,3,0,0,0,0,81,80,184,348
5104167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5104168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5104169,0,0,4,4,0,0,6,8,3,3,9,17,6,3,10,20,4,0,6,17,3,5,11,20,4,3,11,11,3,0,0,7,0,0,0,0,24,16,57,102,0,0,3,3,0,0,13,13,4,3,6,23,8,4,9,23,4,3,3,15,3,4,10,18,0,0,9,12,0,0,7,9,0,0,3,3,27,19,71,114,0,0,8,8,0,0,18,20,10,5,23,41,17,6,20,44,12,5,8,30,5,8,20,35,3,3,17,20,4,0,13,17,0,0,3,5,53,36,125,211
5104170,0,0,3,3,0,0,10,13,18,7,10,42,17,0,15,28,11,3,4,18,7,0,8,21,12,0,0,14,7,0,3,11,0,0,0,0,66,13,60,140,0,0,6,6,0,0,3,3,20,11,20,51,14,0,16,32,6,3,6,17,12,3,6,22,13,0,6,17,0,0,0,3,0,0,0,0,68,16,55,142,0,0,6,6,0,3,17,16,36,16,32,87,29,3,24,54,19,4,10,36,18,4,17,38,27,0,3,32,10,0,3,8,0,0,0,0,136,30,114,286
5104171,0,0,4,4,0,0,7,7,8,14,22,41,14,0,12,21,3,3,11,18,4,0,12,14,5,3,8,14,4,0,0,5,0,0,0,0,37,18,67,120,0,0,3,3,0,0,6,9,13,9,15,41,9,3,14,21,10,3,4,13,5,0,3,10,3,0,3,9,0,0,0,3,0,0,4,4,47,16,57,124,0,0,6,6,0,0,15,15,27,24,40,86,19,3,19,41,16,8,18,37,12,0,12,23,12,4,13,19,3,0,3,12,0,0,4,10,85,35,122,243
5104172,0,0,0,0,0,0,0,0,3,0,0,5,0,3,3,7,0,3,0,3,0,0,3,3,3,0,0,7,0,0,0,0,0,0,0,0,10,7,8,24,0,0,0,0,0,0,0,0,0,0,3,3,0,0,5,3,3,0,0,3,4,0,0,6,0,0,0,7,0,0,3,5,0,0,3,3,13,3,18,28,0,0,0,0,0,0,0,0,7,0,0,7,3,0,3,7,3,3,0,6,3,0,7,6,4,0,3,8,0,0,3,5,0,0,3,3,22,8,22,51
5104173,0,0,0,0,3,8,18,33,32,19,51,104,18,7,33,61,11,4,23,35,17,7,20,44,11,0,3,12,6,0,3,9,0,0,0,0,100,45,169,312,0,0,3,4,4,14,15,33,43,30,29,101,13,3,23,38,16,3,7,32,15,3,9,33,5,0,8,16,0,0,0,0,0,0,0,0,101,55,108,261,0,0,10,8,11,22,42,71,75,46,79,211,33,15,55,101,22,8,34,66,36,7,31,71,12,0,17,29,10,0,4,10,0,0,0,0,206,96,272,572
5104174,0,0,7,7,0,12,14,27,33,39,49,123,31,10,27,70,12,3,13,32,17,0,3,24,3,0,3,6,0,0,3,4,0,0,0,0,102,64,126,293,0,3,9,11,5,14,28,47,56,27,43,123,24,3,22,46,12,5,13,24,7,0,8,22,3,0,0,7,0,0,0,0,0,0,0,0,104,53,124,286,0,3,16,19,4,29,41,79,91,62,93,247,55,14,49,118,24,9,24,61,26,3,13,44,7,0,6,11,0,0,3,4,0,0,0,0,208,120,250,579
5104175,0,0,0,0,3,3,13,20,7,16,33,57,8,0,8,11,5,0,8,13,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,27,20,66,110,0,0,5,5,0,10,18,26,18,15,26,60,3,0,7,11,8,0,0,13,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,32,26,54,115,0,0,4,5,6,12,33,48,25,32,59,117,9,3,10,26,15,3,7,22,8,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,59,47,120,224
