SA1_7DIGITCODE_2016,Preschool_M,Preschool_F,Preschool_P,Infants_Primary_Government_M,Infants_Primary_Government_F,Infants_Primary_Government_P,Infants_Primary_Catholic_M,Infants_Primary_Catholic_F,Infants_Primary_Catholic_P,Infants_Prim_Other_Non_Govt_M,Infants_Prim_Other_Non_Govt_F,Infants_Prim_Other_Non_Govt_P,Infants_Primary_Tot_M,Infants_Primary_Tot_F,Infants_Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_M,Secondary_Tot_F,Secondary_Tot_P,Tech_Ftime_stud_15_24_yr_M,Tech_Ftime_stud_15_24_yr_F,Tech_Ftime_stud_15_24_yr_P,Tech_Ftime_stud_25_yr_over_M,Tech_Ftime_stud_25_yr_over_F,Tech_Ftime_stud_25_yr_over_P,Tech_Ptime_stud_15_24_yr_M,Tech_Ptime_stud_15_24_yr_F,Tech_Ptime_stud_15_24_yr_P,Tech_Ptime_stud_25_yr_over_M,Tech_Ptime_stud_25_yr_over_F,Tech_Ptime_stud_25_yr_over_P,Tech_Full_Ptime_stud_st_ns_M,Tech_Full_Ptime_stud_st_ns_F,Tech_Full_Ptime_stud_st_ns_P,Tech_Furth_Educ_Instit_Tot_M,Tech_Furth_Educ_Instit_Tot_F,Tech_Furth_Educ_Instit_Tot_P,Uni_oth_Inst_Ft_stu_15_24_M,Uni_oth_Inst_Ft_stu_15_24_F,Uni_oth_Inst_Ft_stu_15_24_P,Uni_oth_Instit_Ft_stu_25_M,Uni_oth_Instit_Ft_stu_25_F,Uni_oth_Instit_Ft_stu_25_P,Uni_oth_Instit_Pt_stu_15_24_M,Uni_oth_Instit_Pt_stu_15_24_F,Uni_oth_Instit_Pt_stu_15_24_P,Uni_oth_Instit_Pt_stu_25_M,Uni_oth_Instit_Pt_stu_25_F,Uni_oth_Instit_Pt_stu_25_P,Uni_oth_Inst_F_Pt_stu_st_ns_M,Uni_oth_Inst_F_Pt_stu_st_ns_F,Uni_oth_Inst_F_Pt_stu_st_ns_P,Uni_oth_Inst_Tot_M,Uni_oth_Inst_Tot_F,Uni_oth_Inst_Tot_P,Oth_type_Edu_inst_Ftime_stu_M,Oth_type_Edu_inst_Ftime_stu_F,Oth_type_Edu_inst_Ftime_stu_P,Oth_type_Edu_inst_Ptime_stu_M,Oth_type_Edu_inst_Ptime_stu_F,Oth_type_Edu_inst_Ptime_stu_P,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_M,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_F,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_P,Oth_type_educ_institut_Tot_M,Oth_type_educ_institut_Tot_F,Oth_type_educ_institut_Tot_P,Type_educ_institution_ns_M,Type_educ_institution_ns_F,Type_educ_institution_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
5107324,5,0,4,9,16,24,0,3,8,0,3,3,15,19,34,17,9,20,0,3,3,0,0,0,17,10,23,0,0,3,4,0,4,0,0,0,0,0,3,0,0,0,5,3,11,0,0,0,3,3,4,0,0,0,0,6,3,0,0,0,3,7,13,0,0,0,0,3,3,0,0,0,0,3,3,0,0,3,0,0,3,41,52,88
5107325,0,0,6,5,12,17,3,8,10,0,0,0,10,16,24,4,5,12,0,0,3,3,0,3,10,10,17,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,6,3,5,0,8,0,0,3,0,0,0,3,3,4,0,0,0,10,3,12,0,0,0,0,0,0,0,0,0,0,0,0,4,4,10,0,0,0,35,42,74
5107326,3,3,6,6,14,17,3,5,12,0,0,3,14,18,35,14,9,17,0,0,0,0,0,0,12,11,19,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,5,4,7,0,3,5,0,3,3,0,0,0,0,0,0,0,0,0,4,4,7,0,0,0,0,0,0,0,0,0,0,0,0,3,10,13,0,0,0,44,46,92
5107327,3,0,4,8,14,25,6,5,15,0,0,3,21,23,39,8,8,10,0,3,3,0,0,4,7,8,17,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,3,4,11,3,4,11,0,0,0,0,0,0,0,0,3,0,0,0,3,6,10,0,0,0,3,0,3,0,0,0,3,0,6,7,14,22,0,3,5,48,61,109
5107328,0,0,0,14,13,28,3,0,3,3,3,10,23,11,37,13,4,16,6,4,12,0,3,3,21,16,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,4,3,4,0,0,0,0,0,0,0,3,7,0,0,0,3,8,10,0,0,0,0,0,0,0,0,0,0,0,0,9,10,21,0,0,7,60,49,111
5107329,0,3,6,11,17,32,4,3,7,3,0,3,23,22,46,7,5,7,3,4,5,4,0,4,11,4,19,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,3,3,8,4,4,7,3,0,3,0,0,0,0,0,0,0,0,0,7,4,13,0,0,0,3,0,3,0,0,0,3,0,3,6,4,9,0,0,3,54,53,103
5107330,6,0,7,4,8,16,0,0,0,0,0,0,4,8,16,11,9,14,0,0,0,0,3,4,12,11,20,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,4,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,7,9,0,0,0,0,3,3,0,0,0,0,3,3,7,4,10,0,0,0,34,34,69
5107331,3,0,3,3,10,13,0,3,3,7,3,10,8,16,25,8,3,13,0,0,0,5,4,11,19,8,25,0,0,7,0,0,0,0,0,0,0,3,6,0,0,0,7,5,10,14,12,26,3,0,3,0,0,0,0,4,4,0,0,0,16,17,31,0,0,3,0,0,0,0,0,0,0,0,3,4,0,5,0,3,3,49,54,103
5107332,3,0,9,13,3,14,0,0,0,0,0,0,13,4,16,5,3,8,0,0,3,3,3,7,12,9,16,3,0,0,0,0,0,0,0,0,3,0,6,0,0,0,3,3,8,3,3,9,3,3,3,0,0,0,0,0,4,0,0,0,9,12,21,0,0,0,0,3,4,0,0,0,0,3,4,8,3,8,0,0,0,41,34,79
5107333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5107334,3,3,9,17,7,29,3,0,3,0,0,0,20,11,31,7,4,14,0,0,0,0,0,3,8,12,17,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,3,4,7,5,0,5,3,0,3,0,0,0,0,0,0,0,0,0,6,3,12,0,0,0,0,0,0,0,0,0,0,0,3,11,11,25,3,3,6,64,42,100
5107335,10,8,14,18,21,33,0,0,0,3,0,5,20,23,42,12,10,22,4,4,4,3,3,4,21,15,36,0,0,0,0,0,0,3,0,3,3,3,3,0,0,0,4,3,11,5,4,14,0,4,4,0,0,0,0,0,0,0,0,0,3,12,13,0,0,0,0,0,3,0,0,0,0,0,3,12,13,24,0,3,6,73,81,149
5107401,0,0,3,13,5,21,3,3,6,0,0,0,15,6,23,10,5,18,0,5,6,0,0,0,7,10,17,4,0,4,0,3,3,4,0,4,0,3,6,0,0,0,7,3,13,9,8,13,3,3,8,0,0,0,0,3,3,0,0,0,12,11,22,0,0,0,3,4,8,0,0,0,3,4,8,13,21,32,0,0,0,59,59,122
5107402,3,0,3,9,8,22,6,4,11,3,4,5,17,21,33,7,9,19,5,10,14,7,6,12,21,29,51,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,3,3,8,6,6,14,0,3,7,0,3,3,3,3,4,0,0,0,14,16,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,58,67,129
5107403,4,0,5,7,17,30,8,13,20,0,4,7,17,31,54,15,17,29,7,0,9,7,5,14,26,19,50,0,3,0,4,0,4,0,3,4,3,0,3,0,0,0,8,4,13,4,3,11,0,0,3,0,3,3,0,6,6,0,0,0,10,11,19,0,4,6,0,0,0,0,0,0,0,4,6,0,0,0,3,0,3,74,78,149
5107404,0,0,5,22,27,52,7,6,14,8,12,16,30,46,73,8,7,17,10,11,18,9,10,23,27,28,60,0,3,3,0,0,3,3,0,3,0,0,0,0,0,0,3,3,6,18,17,31,0,3,4,0,3,6,0,5,10,0,0,0,25,24,49,0,0,0,0,3,5,0,0,0,0,3,5,17,16,28,3,3,10,105,131,238
5107405,0,0,0,15,19,34,3,10,15,3,4,4,24,24,50,10,15,23,12,10,23,4,4,12,26,27,59,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,7,0,7,12,12,24,0,0,4,0,3,3,4,5,11,0,0,0,19,23,37,0,0,0,0,0,0,0,0,0,0,0,0,7,7,14,0,0,0,84,88,166
5107406,0,3,3,8,4,9,3,3,3,3,0,3,14,12,22,3,9,11,3,9,11,3,4,8,15,16,32,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,12,10,19,3,0,3,0,0,0,0,3,8,0,0,0,13,15,32,0,0,0,0,0,0,0,0,0,0,0,0,8,4,13,16,0,17,65,52,115
5107407,0,3,4,8,9,20,5,0,5,0,0,3,16,13,26,0,5,8,4,3,8,0,0,0,8,7,15,0,4,4,0,3,3,0,0,0,5,0,3,0,0,0,5,3,8,4,5,9,3,0,3,0,0,0,5,0,3,0,0,0,10,5,17,0,0,0,0,0,0,0,0,0,0,0,4,5,4,12,0,0,0,45,41,82
5107408,6,3,10,17,9,23,0,0,0,0,0,0,17,12,27,3,8,13,0,0,3,0,0,0,9,9,19,0,0,0,0,0,0,3,0,3,0,3,3,0,0,0,4,3,4,0,3,3,0,5,5,3,0,3,0,4,4,0,0,0,3,7,14,0,0,0,0,0,0,0,0,0,0,0,0,3,5,15,0,0,0,43,43,87
5107409,3,0,3,15,17,29,3,4,7,0,0,0,19,22,37,18,9,25,3,3,6,0,0,0,15,15,32,0,3,3,3,0,3,3,0,5,3,0,3,0,0,0,3,3,11,3,3,8,3,7,10,0,0,0,0,3,5,0,0,0,9,12,18,0,0,0,0,3,3,0,0,0,0,3,3,3,8,9,0,0,3,60,63,117
5107410,3,3,6,10,13,30,0,3,3,0,0,0,14,18,31,4,7,18,0,3,6,0,0,0,8,14,23,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,4,5,10,0,5,4,0,3,7,0,0,0,0,3,3,0,0,0,8,13,19,0,0,0,0,0,0,0,0,0,0,3,3,5,11,15,0,0,0,42,59,103
5107411,4,3,3,9,15,24,4,3,4,3,3,7,20,19,34,7,9,16,0,0,4,3,0,3,12,10,25,0,0,0,0,0,0,4,0,4,3,3,5,0,0,0,3,3,4,0,0,0,0,4,4,0,0,0,0,8,6,0,0,0,3,14,15,0,0,0,0,3,3,0,0,0,0,3,3,12,18,26,7,4,10,55,68,127
5107412,6,8,8,30,18,49,5,0,3,0,6,4,32,24,53,11,7,22,0,0,0,0,3,4,19,13,27,0,3,3,0,4,3,6,0,6,3,3,4,0,0,0,12,9,13,3,3,5,4,12,16,0,0,0,0,3,3,0,0,0,7,17,29,0,0,0,3,3,3,0,0,0,3,3,3,20,24,45,0,3,4,99,98,197
5107413,4,3,3,13,16,27,0,0,3,0,0,0,19,13,31,7,6,15,0,0,0,0,0,0,8,6,16,3,4,4,0,0,0,0,0,0,0,0,3,0,0,0,5,3,8,0,0,3,0,0,0,0,0,0,3,5,8,0,0,0,3,8,12,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8,3,0,3,41,44,85
5107414,3,7,11,20,20,42,0,0,0,0,0,4,21,22,48,18,12,35,3,0,3,0,0,0,19,12,34,0,4,3,0,0,0,0,6,7,0,3,3,0,0,0,4,8,9,0,9,5,0,5,7,0,3,3,3,5,4,0,0,0,6,19,21,0,3,0,3,0,3,0,0,0,3,3,8,21,18,40,0,5,8,75,101,177
5107415,0,3,6,5,11,22,0,3,3,3,0,5,10,15,24,15,7,24,4,0,6,0,0,3,19,6,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,7,0,8,3,4,4,0,0,0,0,3,3,0,0,0,4,9,18,0,0,0,0,0,3,0,0,0,0,3,3,8,7,17,3,8,7,54,56,104
5107416,9,8,15,20,24,42,6,12,13,3,6,8,30,37,70,16,21,32,5,9,12,3,6,8,19,30,54,0,0,3,0,3,3,3,0,5,0,3,7,0,0,0,4,5,11,3,6,14,0,0,0,0,0,3,0,11,11,0,0,0,4,23,26,0,0,0,0,0,0,0,0,0,0,3,3,21,16,39,5,4,8,89,129,218
5107417,3,0,4,28,12,39,3,3,6,0,0,0,27,17,42,15,9,26,0,0,0,0,0,0,16,15,25,0,0,0,0,0,0,0,3,3,0,7,4,0,0,0,0,5,8,7,3,8,0,0,0,3,3,9,0,3,3,0,0,0,11,5,20,0,4,3,0,0,0,0,0,0,3,4,6,4,8,12,3,0,5,66,60,127
5107418,0,3,4,13,17,35,0,0,0,0,0,0,16,17,36,15,10,19,3,3,7,0,0,0,19,8,32,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,7,0,4,3,0,3,3,0,0,0,0,0,3,0,0,0,3,8,10,0,0,0,0,0,3,0,0,0,0,0,3,14,12,26,0,0,0,56,53,111
5107419,3,3,4,27,21,44,3,3,4,0,3,3,26,25,50,13,5,16,9,5,8,0,0,0,21,13,27,3,0,3,0,3,3,3,0,3,0,0,0,0,0,0,7,9,10,0,8,9,0,0,3,0,0,0,0,0,0,0,0,0,3,9,11,0,0,3,0,0,0,0,0,0,0,0,7,18,11,29,0,0,0,73,69,144
5107420,3,3,9,17,15,26,7,7,14,3,3,8,22,22,48,9,4,12,3,3,11,9,9,17,25,17,40,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,4,9,3,14,15,3,0,3,0,0,0,0,0,0,0,0,0,10,13,21,0,0,0,0,0,0,0,0,0,0,0,0,7,13,13,3,3,4,67,76,141
5107421,0,0,0,13,10,23,3,5,4,0,0,0,16,15,29,7,4,15,7,10,13,3,6,13,18,20,41,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,3,6,7,3,11,0,3,0,0,3,3,0,7,3,0,0,0,7,18,25,0,0,0,0,0,0,0,0,0,0,0,0,9,5,17,3,3,6,59,59,121
5107501,4,4,7,10,8,16,3,5,11,10,3,18,28,18,45,3,3,7,8,14,23,24,12,38,35,32,69,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,3,5,4,20,16,43,0,0,0,3,0,4,0,3,5,0,0,0,25,22,46,0,0,0,0,0,0,0,0,0,0,0,0,13,11,24,0,0,7,109,95,208
5107502,0,0,0,3,8,16,5,8,19,3,3,8,13,23,32,3,0,5,13,5,17,8,10,23,20,18,38,0,0,0,0,0,0,3,0,3,0,0,3,0,0,0,4,3,7,7,10,14,3,0,3,3,0,3,0,0,0,0,0,0,12,14,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,57,58,112
5107503,0,3,0,14,17,36,3,5,5,0,5,4,19,27,43,9,3,18,3,0,7,3,3,5,21,8,34,3,0,3,0,0,0,0,0,3,0,0,3,0,0,0,4,0,7,7,6,11,0,3,3,0,0,0,3,7,10,0,0,0,12,17,22,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,0,0,0,61,60,118
5107504,3,4,9,19,13,26,9,0,12,3,3,9,28,17,45,6,8,15,5,0,6,6,4,7,21,16,31,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,5,13,5,14,0,0,0,0,0,0,3,3,8,0,0,0,16,10,25,0,0,0,3,3,3,0,0,0,3,3,3,10,10,17,0,0,0,77,62,135
5107505,3,5,11,15,10,29,4,4,10,6,3,9,22,19,45,5,3,10,3,3,9,0,3,3,8,10,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,0,4,4,0,0,0,0,8,8,0,0,0,3,13,21,0,0,3,0,0,0,0,0,0,0,3,5,3,3,3,0,0,0,49,57,103
5107506,6,4,9,22,17,44,8,4,11,0,5,5,34,27,58,8,10,17,6,11,11,8,5,10,15,26,42,0,0,0,0,0,0,0,3,4,3,4,8,0,0,0,7,8,12,3,6,11,0,3,4,0,0,0,6,3,6,0,0,0,6,17,26,0,0,0,0,0,3,0,0,0,0,3,0,19,14,36,3,3,5,89,104,186
5107507,8,0,7,6,12,19,0,3,3,0,3,3,6,12,19,5,3,5,4,3,7,3,5,5,11,10,17,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,0,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,8,9,8,0,0,0,0,3,3,0,0,0,0,3,3,12,14,27,0,0,3,45,50,91
5107508,0,3,0,12,9,24,0,0,0,0,3,10,14,17,29,9,12,16,7,3,8,6,3,15,19,13,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,3,0,0,0,0,0,0,0,0,0,0,3,5,15,0,0,0,0,3,3,0,0,0,3,3,6,7,3,8,0,0,0,48,46,99
5107509,3,0,5,8,8,17,4,4,6,7,10,18,27,19,42,3,4,3,7,6,17,13,9,20,17,18,40,0,3,4,0,0,0,3,0,3,0,0,0,0,0,0,0,3,4,14,10,24,0,0,0,0,0,0,0,3,3,0,0,0,14,14,27,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8,0,0,3,67,57,129
5107510,3,10,8,13,13,27,3,9,11,5,6,16,27,25,52,13,10,19,4,9,13,11,15,31,22,36,57,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,3,4,8,11,13,28,0,4,3,0,3,3,3,3,9,0,0,0,12,27,38,0,0,0,0,0,4,0,0,0,0,0,4,6,14,24,0,8,8,83,122,200
5107511,5,4,10,7,9,13,5,10,16,5,7,18,21,23,44,0,3,9,4,3,7,8,10,21,19,16,31,0,0,3,0,0,0,3,0,3,3,0,7,0,0,0,10,3,10,15,15,30,3,0,6,0,0,3,0,3,5,0,0,0,22,24,47,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,77,76,148
5107512,5,0,7,26,30,55,5,5,11,5,5,5,37,39,75,19,10,27,7,6,10,0,5,5,18,22,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,3,11,0,3,3,0,3,3,3,8,6,0,0,0,11,10,22,0,0,0,0,0,0,0,0,0,0,0,0,10,7,23,0,6,4,86,92,178
5107513,3,3,6,19,19,39,10,6,13,4,3,5,31,31,66,15,13,21,5,0,9,6,15,23,21,23,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,11,11,24,0,0,0,0,0,0,3,6,8,0,0,0,12,22,30,0,0,0,4,4,3,0,0,0,3,4,5,8,7,15,0,0,0,82,91,176
5107514,0,4,4,5,7,10,4,9,16,5,4,8,12,15,29,0,12,15,3,8,13,9,4,10,14,20,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,7,0,0,3,0,4,4,0,3,3,0,0,0,3,11,17,0,0,0,0,0,0,0,0,0,0,0,0,9,13,17,0,4,4,39,69,112
5107515,0,0,0,3,12,11,3,0,8,7,6,14,13,23,37,4,7,7,0,0,0,12,18,23,13,16,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,7,5,14,0,0,0,0,0,0,0,0,0,0,0,0,10,13,21,0,0,0,51,56,114
5107516,4,0,7,9,15,20,9,4,8,9,6,14,23,22,43,10,3,6,9,8,11,11,12,26,23,20,43,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,4,11,11,22,0,0,3,3,0,3,0,0,0,0,0,0,17,14,27,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,3,70,64,132
5107517,0,0,0,3,3,4,0,3,3,4,8,20,14,13,25,0,3,3,4,3,8,4,3,8,6,8,19,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,8,3,16,0,0,0,0,0,0,0,3,3,0,0,0,8,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,32,65
5107518,0,4,4,15,3,24,5,3,11,6,4,10,27,15,40,4,7,15,3,7,11,17,21,33,28,36,62,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,11,7,25,0,5,7,0,0,0,0,0,0,0,0,0,14,12,34,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,0,0,0,72,73,143
5107519,0,3,3,5,3,9,4,0,8,8,3,9,18,13,27,0,0,3,0,0,0,8,9,12,9,8,13,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,3,0,5,7,6,13,0,0,0,0,0,0,0,0,0,0,0,0,7,11,13,0,0,0,0,0,0,0,0,0,0,0,0,7,3,9,0,0,0,41,40,77
5107520,5,3,3,10,20,29,18,8,28,17,9,25,43,38,81,11,6,12,14,16,28,19,15,33,36,34,72,3,3,8,0,0,0,3,0,3,0,4,6,0,0,0,5,6,16,15,19,26,3,0,3,0,3,4,4,3,6,0,0,0,23,25,41,0,0,0,0,3,4,0,0,0,0,3,3,8,17,23,0,3,4,119,129,249
5107521,0,3,4,7,8,14,12,7,23,3,13,16,26,28,54,10,6,12,5,11,15,3,6,13,12,22,39,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,3,5,7,8,19,33,0,3,3,3,0,3,0,0,0,0,0,0,13,27,42,0,0,0,0,0,0,0,0,0,0,0,0,7,4,12,0,4,4,61,94,152
5107522,4,0,4,14,8,22,4,9,13,12,13,23,31,21,53,6,13,18,9,3,9,12,10,25,22,27,50,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,6,3,9,25,17,41,4,0,4,0,3,3,0,8,5,0,0,0,34,22,58,0,0,3,3,0,3,0,0,0,0,4,4,7,6,14,6,12,18,106,99,210
5107523,0,3,3,15,14,28,3,6,8,3,6,13,21,25,45,8,10,13,6,11,12,5,15,22,19,25,45,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,7,11,8,18,0,3,8,0,3,3,3,4,3,0,0,0,10,20,28,0,0,0,3,3,4,0,0,0,3,3,3,10,6,16,0,0,0,74,86,155
5107601,0,4,6,9,3,8,3,3,9,0,4,7,15,15,27,3,0,3,9,6,14,3,8,15,13,16,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,11,14,0,0,0,0,0,0,0,0,3,0,0,0,13,12,25,0,0,0,0,3,4,0,0,0,3,3,8,3,3,5,3,3,3,48,59,105
5107602,0,0,0,17,6,21,12,3,15,8,7,11,30,19,47,11,16,22,0,9,9,5,4,11,14,31,40,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,4,3,9,5,16,21,0,0,0,3,0,6,0,0,0,0,0,0,10,18,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,59,66,130
5107603,4,0,8,19,14,32,8,10,14,4,3,12,33,24,57,13,4,16,9,6,14,8,3,14,26,15,38,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,9,0,8,5,20,24,0,0,0,3,5,6,0,0,3,0,0,0,6,22,27,0,0,0,0,0,0,0,0,0,0,0,0,5,4,6,0,0,3,77,73,148
5107604,0,0,0,9,8,12,3,6,8,0,8,10,17,13,33,9,8,15,6,9,19,3,8,8,20,19,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,10,0,0,0,0,4,6,0,4,4,0,0,0,3,8,15,0,0,0,0,0,0,0,0,0,0,0,0,3,5,7,0,4,4,43,54,105
5107606,0,0,0,6,4,7,3,0,4,0,0,0,8,9,14,14,8,19,5,5,14,3,9,10,17,20,41,0,0,4,0,0,0,5,0,5,0,0,0,0,0,0,3,3,5,0,9,15,0,0,0,0,0,0,4,0,4,0,0,0,5,7,14,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,3,4,4,39,45,86
5107607,3,3,3,7,8,16,0,0,5,0,0,3,11,9,24,4,0,12,4,4,11,0,3,5,13,11,23,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,3,0,5,8,3,10,0,0,0,0,0,0,0,0,3,0,0,0,8,6,18,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,3,3,44,37,75
5107608,4,4,7,15,20,33,4,10,15,3,5,11,15,32,48,11,9,15,3,5,13,17,12,26,24,24,50,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,3,8,11,14,18,3,0,8,0,0,0,0,7,9,0,0,0,13,26,34,0,0,0,0,0,0,0,0,0,0,0,5,3,5,8,3,3,7,75,100,169
5107609,3,4,4,12,15,28,14,14,20,13,7,22,39,38,74,10,8,16,25,3,31,21,19,33,53,27,78,0,0,4,0,0,0,0,3,3,0,4,4,0,0,0,3,11,15,10,13,28,6,3,4,3,0,4,3,3,8,0,0,0,17,22,38,0,0,0,0,0,0,0,0,0,0,0,0,4,6,13,0,0,3,119,108,230
5107611,3,3,9,35,16,45,13,26,39,18,18,31,64,58,124,12,13,28,20,13,30,15,20,36,53,48,95,6,0,9,0,0,0,3,0,3,0,3,3,0,0,0,9,10,14,16,24,45,4,3,5,4,3,4,3,7,7,0,0,0,27,35,62,0,0,0,0,3,3,0,0,0,0,3,4,4,3,13,0,3,3,165,158,325
5107612,14,5,18,12,21,41,19,25,39,17,23,36,47,68,116,11,9,18,13,19,31,25,20,49,48,52,104,4,0,4,0,0,0,0,0,4,0,4,7,0,0,0,5,7,11,14,24,38,5,3,3,3,7,9,3,8,6,0,0,0,19,36,57,4,4,8,0,3,3,0,0,0,4,8,11,9,6,22,3,4,9,154,188,342
5107613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,4,6
5107614,17,8,25,27,39,66,16,19,28,35,23,53,78,74,150,18,5,23,16,15,38,24,33,54,58,57,111,3,3,4,0,0,0,5,3,7,3,3,8,0,0,0,15,6,21,19,28,43,0,3,3,3,3,8,7,12,18,0,0,0,30,43,74,0,0,0,0,4,5,0,0,0,0,6,7,17,8,23,3,6,9,206,209,416
5107615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5107616,16,12,27,50,37,85,18,24,44,14,19,35,82,76,155,17,11,24,7,12,16,10,13,25,35,33,64,3,3,5,0,0,0,3,0,4,3,9,9,0,0,0,12,10,23,13,17,31,0,6,6,0,6,6,9,6,18,0,0,0,23,33,57,4,0,4,0,3,5,0,0,0,3,3,9,7,9,13,4,0,4,178,185,363
5107617,6,4,9,27,17,44,11,13,23,21,13,34,62,50,103,14,18,29,12,6,15,23,21,43,46,44,87,0,0,0,0,0,0,3,3,8,3,4,3,0,0,0,6,13,14,16,26,33,0,0,3,0,4,4,3,3,4,0,0,0,18,33,51,0,0,3,5,0,5,0,0,0,3,0,3,12,13,25,8,5,9,154,154,307
5107701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
