SA2_MAINCODE_2016,P_15_19_Mgrs,P_15_19_Profnls,P_15_19_Techs_trades_workers,P_15_19_Comm_psnl_serv_wrkrs,P_15_19_Cler_admin_wrkrs,P_15_19_Sales_wrkrs,P_15_19_Mach_oper_dvrs,P_15_19_Labrs,P_15_19_Inad_desc_Ns,P_15_19_Tot,P_20_24_Mgrs,P_20_24_Profnls,P_20_24_Techs_trades_wrkrs,P_20_24_Comm_psnl_serv_wrkrs,P_20_24_Cler_admin_wrkrs,P_20_24_Sales_wrkrs,P_20_24_Mach_oper_dvrs,P_20_24_Labrs,P_20_24_Inad_desc_Ns,P_20_24_Tot,P_25_34_Mgrs,P_25_34_Profnls,P_25_34_Techs_trades_wrkrs,P_25_34_Comm_psnl_serv_wrkrs,P_25_34_Cler_admin_wrkrs,P_25_34_Sales_wrkrs,P_25_34_Mach_oper_dvrs,P_25_34_Labrs,P_25_34_Inad_desc_Ns,P_25_34_Tot,P_35_44_Mgrs,P_35_44_Profnls,P_35_44_Techs_trades_wrkrs,P_35_44_Comm_psnl_serv_wrkrs,P_35_44_Cler_admin_wrkrs,P_35_44_Sales_wrkrs,P_35_44_Mach_oper_dvrs,P_35_44_Labrs,P_35_44_Inad_desc_Ns,P_35_44_Tot,P_45_54_Mgrs,P_45_54_Profnls,P_45_54_Techs_trades_wrkrs,P_45_54_Comm_psnl_serv_wrkrs,P_45_54_Cler_admin_wrkrs,P_45_54_Sales_wrkrs,P_45_54_Mach_oper_dvrs,P_45_54_Labrs,P_45_54_Inad_desc_Ns,P_45_54_Tot,P_55_64_Mgrs,P_55_64_Profnls,P_55_64_Techs_trades_wrkrs,P_55_64_Comm_psnl_serv_wrkrs,P_55_64_Cler_admin_wrkrs,P_55_64_Sales_wrkrs,P_55_64_Mach_oper_dvrs,P_55_64_Labrs,P_55_64_Inad_desc_Ns,P_55_64_Tot,P_65_74_Mgrs,P_65_74_Profnls,P_65_74_Techs_trades_wrkrs,P_65_74_Comm_psnl_serv_wrkrs,P_65_74_Cler_admin_wrkrs,P_65_74_Sales_wrkrs,P_65_74_Mach_oper_dvrs,P_65_74_Labrs,P_65_74_Inad_desc_Ns,P_65_74_Tot,P_75_84_Mgrs,P_75_84_Profnls,P_75_84_Techs_trades_wrkrs,P_75_84_Comm_psnl_serv_wrkrs,P_75_84_Cler_admin_wrkrs,P_75_84_Sales_wrkrs,P_75_84_Mach_oper_dvrs,P_75_84_Labrs,P_75_84_Inad_desc_Ns,P_75_84_Tot,P_85_over_Mgrs,P_85_over_Profnls,P_85_over_Techs_trades_wrkrs,P_85_over_Com_psnl_serv_wrkrs,P_85_over_Cler_admin_wrkrs,P_85_over_Sales_wrkrs,P_85_over_Mach_oper_dvrs,P_85_over_Labrs,P_85_over_Inad_desc_Ns,P_85_over_Tot,P_Tot_Mgrs,P_Tot_Profnls,P_Tot_Techs_trades_wrkrs,P_Tot_Comm_psnl_serv_wrkrs,P_Tot_Cler_admin_wrkrs,P_Tot_Sales_wrkrs,P_Tot_Mach_oper_dvrs,P_Tot_Labrs,P_Tot_Inad_desc_Ns,P_Tot_Tot
504021051,0,0,17,24,8,68,0,37,3,160,14,25,66,22,27,52,24,14,0,238,54,102,100,51,73,37,40,39,4,487,85,128,74,48,67,30,32,27,7,506,98,124,88,48,115,53,65,35,8,640,66,69,51,48,77,26,49,35,5,432,11,29,22,6,15,8,6,9,0,104,3,9,0,0,3,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,332,483,409,252,384,275,212,200,28,2580
504021052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
504021053,9,3,73,56,17,122,4,103,7,389,20,42,128,54,34,71,22,59,4,439,61,167,212,66,116,43,58,52,17,780,148,267,211,118,161,68,89,56,34,1145,239,325,257,190,242,80,118,120,27,1603,154,272,181,119,205,83,99,87,11,1219,48,57,37,18,34,23,20,23,4,277,4,10,4,0,5,8,0,0,0,37,0,0,0,0,0,0,0,0,0,3,681,1148,1098,630,822,493,415,506,107,5897
504021054,3,0,31,37,16,109,9,77,9,294,25,32,116,78,58,77,23,78,13,493,81,149,237,121,164,87,107,106,30,1080,112,155,184,98,161,62,79,109,17,979,120,187,184,125,192,87,135,134,32,1199,88,137,138,117,174,64,119,102,21,962,28,33,46,29,39,20,23,25,9,247,0,3,0,0,3,3,0,4,0,22,0,0,0,0,0,0,0,0,0,0,461,704,941,597,798,512,490,636,122,5266
504031055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7
504031056,7,7,76,82,20,241,10,129,9,577,42,98,180,141,126,210,52,123,18,989,133,297,359,168,253,136,122,156,37,1668,181,218,308,200,249,133,141,193,31,1650,266,309,380,268,354,182,240,251,42,2288,152,196,236,165,293,142,143,158,16,1502,24,26,30,25,43,22,33,22,0,225,0,3,4,0,5,0,0,7,0,18,0,0,0,0,0,0,0,0,0,0,805,1165,1569,1048,1342,1056,744,1039,157,8927
504031057,13,10,49,46,18,175,15,87,7,423,45,66,158,104,90,165,48,113,15,799,160,327,415,254,277,184,209,195,41,2056,190,265,355,221,265,135,177,181,39,1832,157,159,282,201,291,135,195,221,30,1665,97,111,186,130,171,83,138,186,21,1125,14,33,26,26,27,11,20,37,4,201,0,0,0,0,0,0,3,4,0,7,0,0,0,0,0,0,0,0,0,0,676,974,1470,983,1137,883,793,1029,161,8107
504031058,0,0,28,24,9,42,4,33,0,144,10,39,58,40,29,32,7,39,4,251,36,52,102,33,59,26,38,43,9,395,72,72,104,44,79,37,45,44,14,498,65,88,99,49,113,42,87,60,13,628,33,45,72,29,59,26,59,66,14,403,20,13,11,13,14,4,16,14,3,103,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,241,308,476,231,365,201,259,296,48,2423
504031059,9,8,128,147,37,324,31,187,9,886,79,137,333,268,232,276,119,197,22,1662,469,705,968,622,772,400,507,403,77,4924,520,783,728,531,701,315,435,325,74,4415,415,450,472,399,615,269,339,243,69,3254,174,197,204,174,267,121,179,137,16,1478,35,31,48,33,60,26,30,34,6,289,5,3,0,3,0,4,0,3,0,21,0,0,0,0,0,0,0,0,0,0,1701,2307,2879,2177,2684,1739,1636,1528,279,16928
504031060,0,0,3,21,0,24,5,27,0,77,0,4,25,15,20,26,5,20,0,127,9,22,31,9,15,5,7,4,6,120,35,71,47,22,42,11,17,15,3,262,77,74,80,40,61,24,35,18,11,410,56,39,39,36,42,4,19,17,7,263,21,8,9,3,13,4,4,6,3,73,9,0,0,0,4,0,0,0,0,13,0,0,0,0,0,0,0,0,0,4,207,226,242,141,189,103,95,113,37,1344
504031061,3,0,12,20,5,30,3,17,0,94,5,17,38,16,21,24,7,15,0,149,44,95,85,54,74,26,28,25,8,433,71,120,70,49,89,12,31,32,8,487,66,74,58,38,80,18,45,38,3,425,45,58,38,28,56,32,46,27,13,334,11,9,5,10,10,10,9,3,0,57,3,0,3,0,0,0,0,3,0,15,0,0,0,0,0,0,0,0,0,0,251,376,303,217,330,151,168,165,31,1997
504031062,3,10,28,26,17,86,6,38,4,211,20,45,87,78,53,101,32,65,5,476,120,289,298,178,187,101,100,131,21,1423,105,209,193,138,184,73,114,110,18,1144,101,137,141,112,156,70,98,113,9,941,53,73,79,94,111,45,66,87,10,610,15,14,21,9,12,9,10,22,0,115,4,0,0,0,0,0,0,3,0,13,0,0,0,0,0,0,0,0,0,0,414,776,845,631,717,480,432,573,71,4936
504031063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
504031064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
504031065,3,0,25,31,6,39,3,31,0,138,16,18,65,34,27,29,9,27,3,233,33,79,98,46,69,25,39,47,5,450,37,64,85,49,61,24,49,46,3,412,69,77,91,55,87,41,65,62,7,560,41,44,57,34,84,27,66,51,10,411,23,18,12,7,20,8,15,13,3,121,7,3,6,0,0,0,5,3,0,21,0,0,0,0,0,0,0,0,0,3,242,300,441,253,354,195,256,283,36,2350
504031066,9,3,29,41,13,76,4,34,7,211,24,44,74,77,55,88,50,75,0,493,90,201,151,140,149,81,97,106,15,1027,109,222,175,100,118,60,67,87,11,945,95,173,152,106,101,70,100,83,22,904,67,119,75,101,90,37,81,79,13,654,15,28,20,23,35,14,21,16,6,173,0,0,0,0,3,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,409,781,678,575,562,420,418,494,74,4410
504031067,3,4,33,30,11,81,5,59,0,226,16,20,82,45,44,61,38,42,8,350,56,108,138,77,107,59,62,62,11,679,88,111,116,84,104,55,77,68,14,710,88,102,121,80,146,79,89,77,11,785,36,66,58,56,82,28,66,39,8,436,11,10,13,14,12,9,5,11,0,95,0,0,0,0,3,0,0,3,0,9,0,0,0,0,0,0,0,0,0,4,309,407,553,385,509,370,350,358,52,3290
504031068,4,3,39,46,16,86,3,67,7,274,16,53,111,79,52,70,20,53,5,459,132,179,224,99,147,82,102,82,14,1062,169,203,161,125,172,69,81,67,22,1070,247,194,159,106,216,90,71,59,5,1151,143,132,81,71,138,50,56,45,3,721,41,35,29,18,28,17,10,8,3,192,7,3,0,0,3,0,0,3,0,22,0,0,0,0,0,0,0,0,0,0,761,801,804,547,767,465,357,385,60,4946
504031069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
505011070,3,3,24,32,8,81,8,48,5,205,12,57,103,70,45,80,21,46,13,432,118,329,368,142,194,94,69,107,16,1428,112,223,245,115,152,69,62,76,21,1074,70,167,152,84,150,66,73,99,18,879,64,106,120,91,123,56,59,76,9,706,7,26,20,12,23,8,10,18,0,128,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,397,905,1035,542,688,447,303,472,83,4871
505011071,7,15,67,129,16,228,22,111,7,598,36,83,154,141,82,162,30,86,17,805,95,259,230,106,183,82,43,86,16,1099,206,386,255,148,231,78,51,94,27,1471,284,461,316,225,386,145,73,112,44,2053,133,197,165,84,163,86,85,89,10,1007,17,39,26,17,29,11,13,17,3,171,0,7,0,0,3,0,0,4,0,17,0,0,0,0,0,0,0,0,0,0,774,1440,1212,856,1095,794,315,604,118,7215
505011072,3,9,38,89,23,175,7,66,4,411,22,93,118,109,56,111,15,71,8,599,111,343,174,92,114,60,25,56,15,993,298,641,242,137,243,65,40,45,23,1747,333,572,193,168,291,108,30,58,33,1792,233,399,144,99,250,94,40,68,12,1335,55,114,37,32,81,38,14,24,10,407,3,3,0,3,3,3,0,3,0,21,0,0,0,0,0,0,0,0,4,7,1058,2173,945,722,1061,650,184,392,106,7294
505011073,4,0,47,48,13,127,3,59,3,303,23,56,103,76,59,80,20,47,14,472,141,382,295,118,197,83,45,97,27,1380,201,450,237,140,204,81,57,97,16,1489,172,330,198,123,243,82,61,86,20,1328,122,217,142,117,201,66,71,83,16,1034,39,64,42,33,75,39,22,25,6,348,3,4,0,3,7,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,706,1505,1052,661,1002,567,288,492,107,6381
505011074,4,7,42,57,15,114,15,68,0,329,12,54,124,98,52,98,12,62,11,525,114,265,276,131,157,75,59,80,32,1187,131,258,228,105,151,74,54,76,17,1096,150,215,206,115,195,91,55,87,11,1135,104,164,143,113,160,85,59,82,11,923,23,50,15,17,31,10,16,17,3,183,0,0,5,3,0,3,0,3,0,18,0,0,0,0,0,0,0,0,0,0,543,1019,1032,644,770,549,275,478,89,5391
505011075,0,10,33,85,13,135,10,60,0,353,16,87,83,106,62,115,12,45,8,541,87,173,132,59,97,43,25,30,8,664,222,341,139,72,167,65,13,35,15,1072,313,402,137,112,259,89,37,51,21,1409,234,314,106,87,223,80,28,45,11,1128,45,58,32,17,46,24,11,18,0,248,0,9,3,0,3,3,0,0,0,20,0,0,0,0,0,0,0,0,0,0,926,1383,677,533,859,550,138,287,76,5428
505011076,7,3,35,78,14,150,5,60,3,357,24,73,95,67,52,108,12,54,4,484,56,132,90,43,69,35,8,23,3,455,212,344,126,85,159,55,13,28,17,1044,324,384,190,137,259,105,34,42,20,1487,137,175,114,55,145,60,29,38,11,765,15,10,11,3,15,12,6,5,7,84,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,773,1129,660,458,715,519,111,257,62,4690
505011077,0,10,45,83,19,145,7,59,10,379,42,98,125,160,104,180,29,77,17,829,124,419,297,212,215,137,76,137,26,1640,165,347,189,124,168,69,41,79,16,1201,216,340,229,156,247,99,71,106,16,1483,149,268,171,103,221,89,67,80,18,1160,29,42,33,25,40,19,13,17,3,218,4,3,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,4,735,1527,1085,865,1012,735,299,567,108,6919
505011078,0,4,36,63,21,146,5,69,0,349,21,69,84,100,47,97,19,50,5,479,91,299,214,95,138,60,34,58,4,1002,210,427,184,98,204,83,38,56,18,1318,211,332,194,161,261,87,61,66,25,1397,167,288,200,122,350,116,67,86,9,1403,35,68,43,16,70,30,24,18,3,312,0,5,0,0,6,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,744,1490,959,646,1100,619,247,405,64,6272
505011079,3,8,31,74,23,137,10,65,4,354,17,59,91,88,50,102,11,41,4,478,85,202,153,85,103,43,31,43,10,755,212,317,189,108,166,60,30,45,25,1152,253,381,186,121,237,98,42,69,17,1405,129,263,119,69,175,63,41,44,13,924,38,58,38,27,48,26,7,34,5,276,3,6,0,0,4,0,0,0,3,11,0,0,0,0,0,0,0,0,4,7,735,1297,818,571,803,534,177,341,87,5357
505011080,0,11,40,63,14,141,10,48,3,321,10,66,63,88,38,78,11,39,3,405,47,140,96,40,68,37,12,29,12,473,117,210,107,57,114,22,31,32,12,688,212,286,158,113,190,73,35,53,13,1136,136,160,109,55,153,78,39,45,16,801,31,44,25,12,28,17,11,9,0,170,0,8,0,0,3,3,0,4,0,15,0,0,0,0,0,0,0,0,0,0,558,927,598,421,602,442,143,256,66,4010
505011081,0,0,27,36,5,76,8,36,4,182,15,42,71,53,33,50,14,31,3,322,87,261,238,102,113,54,30,60,15,957,139,270,206,81,113,56,41,54,17,972,95,180,143,71,147,43,47,53,8,790,74,131,113,68,140,53,36,53,13,672,15,31,17,23,29,16,17,22,4,171,0,0,6,0,3,0,0,5,0,13,0,0,0,0,0,0,0,0,0,0,416,921,815,439,584,343,183,322,69,4084
505011082,5,11,32,56,13,98,8,39,4,267,18,68,50,75,56,82,15,40,6,403,68,196,95,42,64,44,15,18,9,555,190,314,96,55,123,40,10,20,19,870,271,389,117,93,182,88,28,25,20,1207,229,319,88,65,175,85,36,33,10,1043,45,83,33,14,65,20,15,13,9,286,6,9,3,0,0,3,3,3,0,31,3,0,0,0,3,0,0,0,0,3,830,1397,509,394,683,454,123,192,78,4665
505011083,6,7,44,59,19,175,4,85,0,406,25,64,101,103,54,90,24,53,6,524,52,164,99,63,77,31,26,30,5,538,120,300,127,78,144,43,24,28,8,878,242,313,171,152,286,82,46,58,13,1359,143,246,140,100,220,74,47,48,15,1029,17,28,21,12,32,21,8,18,5,162,0,3,0,0,0,4,0,3,4,17,0,0,0,0,0,0,0,0,0,0,609,1129,696,565,834,525,179,321,60,4916
505021084,3,5,31,30,13,117,6,62,4,267,22,67,94,103,70,119,26,88,12,601,191,564,400,193,240,138,105,153,23,2016,210,408,277,128,231,123,84,109,37,1603,141,271,208,139,243,89,83,122,25,1330,90,192,120,84,191,79,73,98,7,944,31,53,34,33,57,21,23,34,12,296,3,0,10,0,4,0,0,6,3,30,0,0,0,0,0,0,0,0,0,0,699,1562,1166,718,1044,688,409,671,124,7084
505021085,5,5,38,35,16,114,7,68,12,297,35,64,150,160,81,163,51,172,21,895,205,371,430,414,257,204,255,388,74,2599,111,178,283,232,159,85,198,320,42,1601,76,114,212,180,132,78,176,266,22,1269,40,71,137,125,109,62,125,168,23,855,6,18,34,24,23,18,25,39,4,188,0,0,0,4,3,3,0,9,4,20,0,0,0,0,0,0,0,0,0,0,489,822,1279,1166,774,733,833,1426,203,7723
505021086,5,12,41,83,32,241,10,73,4,505,35,174,134,176,124,209,35,121,11,1028,266,664,383,262,288,188,107,182,45,2376,360,655,325,212,344,152,110,164,33,2341,416,565,335,244,431,191,152,177,43,2555,276,402,242,148,330,146,108,161,28,1836,59,110,59,33,96,52,27,40,16,496,12,21,8,6,12,5,0,14,6,87,3,3,0,0,0,0,0,0,0,14,1436,2606,1524,1159,1658,1188,550,944,178,11237
505021087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
505021088,5,9,22,70,8,118,6,42,3,288,33,105,106,153,96,122,19,63,4,708,303,1150,501,293,372,159,72,132,36,3012,291,680,226,127,213,101,57,81,23,1800,247,439,161,125,248,84,58,79,20,1458,148,261,118,90,166,71,41,74,17,987,27,61,26,14,41,27,11,12,11,229,3,3,4,4,4,3,0,5,4,25,0,0,0,0,0,0,0,0,0,3,1063,2711,1158,879,1150,681,269,491,115,8513
505021089,8,9,43,135,24,207,7,84,4,521,19,114,113,147,74,131,14,68,8,691,185,536,282,125,190,96,35,55,23,1521,455,939,229,130,343,109,51,63,33,2353,484,790,226,164,388,135,41,66,33,2325,271,506,175,112,275,124,42,59,17,1581,74,145,49,19,100,43,20,22,11,489,8,11,3,6,7,3,3,4,0,47,3,0,0,0,0,0,0,0,0,10,1495,3045,1123,830,1399,859,223,430,136,9542
505021090,3,5,21,26,7,87,3,48,10,211,35,63,134,149,86,158,46,130,17,819,295,809,599,471,464,247,213,363,45,3511,180,393,320,238,232,117,120,207,28,1837,68,172,163,127,157,67,114,152,30,1054,62,98,106,96,137,73,51,137,14,777,9,25,23,19,37,7,13,29,3,161,0,4,0,4,3,5,4,4,3,26,0,0,0,0,0,0,0,0,0,4,664,1577,1365,1136,1127,753,566,1061,142,8391
505021091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
505021092,4,3,30,42,12,79,6,34,0,203,42,92,135,171,90,119,25,59,13,742,382,989,606,358,330,182,84,182,37,3162,357,676,244,140,210,111,45,89,29,1905,279,449,159,123,204,93,43,69,13,1438,179,298,102,82,172,79,42,46,4,1008,40,71,15,21,61,27,15,11,3,253,4,12,3,5,3,9,0,3,3,38,0,0,0,0,0,0,0,0,4,4,1281,2592,1287,939,1085,700,268,494,106,8754
505021093,6,6,42,37,13,94,6,34,8,247,30,100,112,113,69,137,27,92,5,670,208,612,321,190,264,151,68,170,26,2007,272,505,149,100,221,89,53,91,21,1509,206,281,150,114,264,100,55,77,16,1265,129,190,140,74,179,88,54,74,9,932,46,37,44,12,48,30,14,41,6,271,5,3,0,4,8,3,5,7,0,39,0,0,0,0,0,0,0,0,0,0,897,1732,954,649,1061,678,287,586,96,6940
505021094,0,7,15,52,4,80,4,23,3,186,14,44,33,48,24,50,7,23,3,245,84,213,115,77,53,49,23,22,10,643,161,266,94,53,93,57,13,29,11,782,186,313,70,49,117,45,16,23,10,836,128,209,59,41,122,31,18,28,7,654,33,58,19,10,27,16,3,10,11,198,3,4,3,0,5,3,0,4,0,20,0,0,0,0,0,0,0,0,0,8,617,1124,399,336,441,340,86,169,52,3561
505021095,0,3,14,29,4,52,4,27,4,138,24,67,70,74,60,94,22,77,5,498,253,819,359,252,267,182,92,178,17,2423,180,474,194,139,186,95,62,93,19,1436,141,220,122,87,163,86,64,61,16,969,68,127,83,65,134,49,48,73,5,659,9,34,20,9,37,16,10,19,3,161,3,3,4,0,6,0,0,0,0,18,0,0,0,0,0,0,0,0,0,3,689,1749,860,658,867,572,300,533,79,6306
505021096,3,18,20,84,16,140,5,56,5,358,21,121,63,110,57,118,9,38,9,538,130,428,106,92,112,65,24,41,8,996,342,625,86,81,180,71,16,38,24,1472,377,633,109,95,234,92,29,30,21,1616,206,402,86,56,158,65,12,26,7,1024,49,109,20,11,54,17,6,13,12,298,8,18,7,0,11,9,3,4,0,52,0,0,0,0,0,0,0,0,4,5,1128,2350,504,532,823,572,117,253,85,6360
505021097,6,5,26,59,27,113,6,54,7,292,27,132,83,140,76,121,19,64,10,663,213,678,314,211,243,117,83,164,26,2052,240,559,191,140,218,76,38,99,17,1588,300,432,144,113,254,103,66,77,29,1517,177,308,90,95,187,76,51,73,9,1066,43,85,29,16,62,24,22,28,3,309,4,9,5,0,5,4,0,3,0,47,0,0,0,0,0,3,0,3,3,11,1012,2211,887,766,1081,647,281,556,105,7544
505031098,0,8,33,20,11,116,6,59,3,253,24,36,131,89,69,106,25,87,15,587,87,153,184,120,131,96,81,148,21,1025,97,152,197,115,153,91,89,130,23,1045,106,112,206,142,178,79,143,179,33,1178,74,91,128,108,141,55,97,122,17,825,13,18,26,15,26,11,23,24,0,152,0,0,3,0,4,0,0,3,0,14,0,0,0,0,0,0,0,0,0,0,386,570,905,617,717,545,466,751,109,5070
505031099,5,7,87,86,23,232,19,145,7,618,50,60,242,180,88,183,44,148,28,1010,216,324,550,306,364,210,190,231,35,2417,242,396,457,294,361,169,178,237,37,2369,195,300,407,235,283,157,149,213,31,1969,59,96,113,107,130,82,90,116,14,806,6,29,34,18,32,22,16,18,4,178,0,0,0,4,0,0,3,0,3,19,0,0,0,0,0,0,0,0,0,0,769,1207,1895,1225,1280,1047,701,1116,156,9390
505031100,9,9,59,79,22,198,8,99,14,498,35,69,196,155,97,166,39,96,17,856,181,427,501,293,395,168,142,200,49,2356,238,388,400,227,299,136,122,163,29,1996,197,260,301,185,303,97,141,140,25,1646,83,96,104,91,134,62,70,77,9,716,18,13,14,17,20,9,11,16,0,115,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,755,1255,1583,1031,1265,839,530,791,136,8193
505031101,3,3,58,47,18,146,6,66,6,360,33,51,159,138,75,138,26,103,13,734,153,341,402,220,233,153,117,182,28,1835,143,268,252,167,191,98,100,115,21,1360,129,171,222,127,186,102,94,130,26,1186,47,81,92,78,114,53,61,82,12,615,9,12,13,24,21,7,7,22,0,122,0,3,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,524,931,1199,794,838,701,428,691,114,6217
505031102,0,0,18,26,5,52,5,46,3,159,11,11,65,60,38,64,27,64,11,349,53,116,191,114,108,74,74,116,34,881,60,82,169,107,78,55,86,127,16,771,45,43,101,102,87,50,77,140,12,651,23,29,76,69,49,17,58,92,10,419,3,11,9,22,15,4,11,33,0,114,0,0,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,198,301,628,491,373,325,329,620,83,3354
505031103,9,18,87,117,41,336,15,152,11,797,34,116,206,177,140,240,48,125,19,1110,303,776,526,295,475,210,148,160,48,2928,532,808,525,302,546,248,158,191,60,3384,450,481,422,254,523,242,201,216,50,2836,162,189,195,119,262,103,112,155,24,1319,33,28,35,19,58,35,16,33,0,274,5,3,0,0,3,3,0,3,3,22,0,0,0,0,0,0,0,0,0,0,1536,2421,2004,1283,2058,1415,703,1046,213,12664
505031104,10,9,31,44,14,117,5,46,3,276,19,45,82,86,46,106,24,65,11,487,80,225,213,113,119,77,73,119,28,1050,109,164,187,105,125,82,95,142,16,1022,103,99,174,124,150,77,124,153,26,1031,51,51,118,89,118,57,79,126,17,695,11,14,22,16,24,5,13,29,4,133,3,4,3,0,0,3,0,7,0,19,0,0,0,0,0,0,0,0,0,0,388,606,829,571,603,517,420,680,102,4719
505031105,7,11,100,140,24,299,33,166,8,790,42,78,200,173,89,147,35,108,19,881,101,233,283,134,141,93,54,100,23,1162,292,464,362,242,303,133,72,137,38,2038,501,558,490,296,422,203,122,178,43,2811,190,230,201,118,207,101,74,97,31,1256,32,44,24,19,24,23,12,23,4,209,4,3,0,0,3,0,0,3,3,18,0,0,0,0,0,0,0,0,0,0,1172,1615,1668,1122,1217,995,405,810,164,9158
505031106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
505031107,3,12,51,80,7,161,16,100,3,440,16,59,121,90,62,100,26,67,7,543,131,298,281,147,227,98,93,107,26,1413,241,383,309,181,267,100,78,105,24,1686,203,257,232,152,241,100,83,106,16,1394,105,101,100,59,145,55,67,60,18,713,19,21,22,4,28,15,5,26,5,144,0,0,0,0,0,0,0,5,0,13,0,0,0,0,0,0,0,0,0,3,718,1131,1116,718,983,630,375,570,96,6346
505031108,10,10,85,98,32,243,25,139,4,652,60,117,254,183,143,200,50,164,23,1186,283,639,727,339,451,214,194,276,43,3173,388,588,522,277,440,174,173,221,48,2824,313,367,389,260,430,176,228,219,49,2433,196,239,295,186,333,110,154,182,18,1720,49,47,69,34,73,28,37,53,17,406,12,4,6,0,5,3,0,7,3,34,0,0,0,0,0,0,0,0,0,0,1306,2019,2345,1376,1909,1160,856,1257,206,12436
505031255,4,3,25,34,11,59,3,26,3,163,34,26,137,102,76,99,21,52,11,550,131,287,337,202,240,96,96,108,7,1509,102,175,174,128,136,58,46,68,8,894,69,103,118,90,97,50,47,58,12,647,27,25,35,27,33,29,20,31,4,226,4,3,9,3,13,8,0,10,3,44,3,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,371,625,828,586,615,390,235,346,46,4040
