SA2_MAINCODE_2016,P_Oth_svc_15_19_yr,P_Oth_svc_20_24_yr,P_Oth_svc_25_34_yr,P_Oth_svc_35_44_yr,P_Oth_svc_45_54_yr,P_Oth_svc_55_64_yr,P_Oth_svc_65_74_yr,P_Oth_svc_75_84_yr,P_Oth_svc_85_yr_over,P_Oth_svc_Tot,P_Inad_desc_Ns_15_19,P_Inad_desc_Ns_20_24,P_Inad_desc_Ns_25_34,P_Inad_desc_Ns_35_44,P_Inad_desc_Ns_45_54,P_Inad_desc_Ns_55_64,P_Inad_desc_Ns_65_74,P_Inad_desc_Ns_75_84,P_Inad_desc_Ns_85,P_Inad_desc_Ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
509011225,13,37,42,44,64,49,18,0,0,272,17,26,38,33,50,44,21,4,3,238,374,488,1019,1148,1431,1170,346,46,9,6041
509011226,3,0,12,11,13,10,3,0,0,61,4,7,9,14,13,15,3,0,0,65,80,80,200,285,400,388,138,27,6,1605
509011227,3,8,19,16,21,20,4,0,0,91,7,9,20,14,13,14,7,3,0,92,148,154,333,436,480,405,79,6,0,2041
509011228,3,8,15,16,22,9,4,0,0,74,16,8,12,15,25,12,20,0,0,101,157,95,258,431,632,533,212,30,3,2356
509011229,0,0,4,9,7,3,0,0,0,22,0,0,18,12,13,9,4,4,0,53,30,100,276,294,325,310,104,19,3,1460
509011230,3,10,13,14,20,16,4,0,0,85,5,11,9,15,13,10,12,3,0,79,107,197,351,377,445,361,88,18,0,1946
509011231,3,8,19,3,8,3,0,0,0,46,3,0,4,14,16,11,9,12,0,68,57,100,328,355,453,386,156,39,3,1879
509011232,3,4,12,9,9,13,3,0,0,57,0,4,10,6,17,11,3,0,0,61,90,86,174,296,376,364,93,7,0,1490
509011233,15,32,41,51,46,26,12,0,0,233,20,13,40,27,35,25,9,3,0,189,396,413,879,939,1021,722,169,28,3,4565
509011234,11,7,14,22,12,7,0,0,0,73,7,10,14,16,14,20,6,4,0,90,117,123,260,376,522,440,169,30,9,2043
509011235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
509021236,3,7,13,27,26,22,10,3,0,110,10,12,13,38,50,21,3,0,0,154,134,160,299,529,677,467,139,26,5,2429
509021237,3,3,6,5,14,9,0,0,0,38,5,8,12,9,14,10,10,5,0,74,61,102,293,290,386,336,114,25,0,1623
509021238,3,3,12,8,8,13,0,0,0,52,5,4,19,8,17,8,3,3,0,73,45,98,321,337,393,397,136,42,9,1781
509021239,7,4,19,30,19,21,0,0,0,107,14,12,25,26,44,29,10,3,0,174,135,245,649,656,865,766,290,64,4,3662
509021240,7,13,24,11,19,10,3,0,0,96,3,8,19,14,15,15,7,3,0,81,104,191,474,404,497,459,155,38,6,2326
509021241,6,6,22,15,18,13,9,0,0,84,8,5,17,18,23,24,3,0,0,106,66,159,402,477,534,439,178,47,3,2318
509021242,3,10,10,3,3,14,0,0,0,44,4,3,8,11,8,21,6,0,0,70,29,113,386,428,503,410,123,31,7,2040
509021243,14,18,21,42,25,45,10,3,0,179,14,29,24,43,40,49,17,0,0,219,222,343,722,832,924,942,248,29,6,4277
509021244,6,9,0,10,19,17,5,0,0,66,7,3,12,6,22,16,12,4,0,90,83,100,193,264,497,461,160,22,0,1769
509021245,3,3,4,11,15,13,8,0,0,61,4,6,13,14,27,25,13,3,0,96,85,116,256,345,483,486,185,33,0,1988
509031246,3,4,5,3,7,5,3,0,0,39,4,6,3,6,5,7,7,9,0,51,48,98,224,263,373,347,154,33,3,1549
509031247,7,9,15,17,12,6,3,0,0,61,3,8,9,21,16,19,14,4,0,85,44,116,456,507,541,482,200,54,6,2398
509031248,3,9,15,16,12,9,7,0,0,70,0,3,8,3,9,9,0,4,0,40,48,110,310,365,413,265,68,14,0,1596
509031249,10,20,16,28,12,8,5,0,0,92,5,12,14,9,22,19,9,3,3,91,87,178,320,348,435,385,122,16,6,1900
509031250,0,10,12,8,18,11,3,0,0,70,6,7,10,4,25,20,8,4,4,87,70,114,321,386,513,504,188,36,8,2149
510011262,12,30,93,88,60,38,14,3,0,334,24,33,88,85,81,66,28,4,0,403,278,504,1984,1855,1794,1487,419,45,4,8359
510011263,14,24,64,46,36,27,7,3,0,213,3,16,37,20,42,29,12,0,0,164,80,233,693,598,583,619,176,8,3,2996
510011264,0,4,7,9,22,4,0,0,0,46,0,5,7,9,15,12,9,0,0,58,22,97,218,173,178,183,42,0,0,911
510011265,10,14,49,40,34,27,7,0,0,174,11,22,48,47,31,37,12,3,0,223,153,325,1005,882,964,834,205,23,0,4402
510011266,3,17,16,18,16,7,3,0,0,77,5,3,7,5,14,16,3,0,0,48,30,77,173,189,223,222,61,7,0,978
510021267,10,24,101,44,29,9,4,0,0,222,0,7,39,37,26,18,0,0,0,136,48,419,2565,2041,1832,959,126,12,0,8010
510021268,0,19,57,51,15,11,3,0,0,151,0,9,17,17,19,4,8,0,0,64,81,227,822,763,531,310,45,0,0,2786
510021269,3,7,43,24,18,16,0,0,0,103,3,5,25,25,37,12,3,0,0,121,75,203,1001,852,724,450,68,6,0,3374
510021270,7,26,75,30,22,9,8,0,0,181,10,29,58,33,50,32,3,0,0,208,172,412,1497,1067,952,530,73,5,3,4722
510031271,3,19,53,52,34,25,6,0,0,188,4,36,207,206,191,108,9,0,0,754,93,703,4894,4560,4015,2185,208,8,0,16658
510031272,18,41,104,81,53,29,5,3,0,345,22,62,153,164,124,61,12,4,0,596,354,686,2545,2389,1781,990,144,20,3,8910
510031273,3,6,16,16,21,11,3,0,0,73,6,8,43,27,20,20,8,0,0,131,78,212,928,894,851,415,61,3,0,3441
511011274,21,40,64,62,62,39,9,0,0,291,17,24,39,37,64,37,15,4,4,235,355,450,937,1058,1302,911,265,48,9,5339
511011275,3,3,6,4,4,5,0,0,0,30,0,3,9,8,7,5,8,0,0,44,50,108,356,413,433,334,120,15,8,1831
511021276,3,8,10,7,13,5,7,0,0,49,8,10,16,21,27,30,5,3,0,111,93,154,417,435,538,464,147,25,0,2274
511021277,7,8,24,15,29,25,3,0,0,108,7,10,43,33,27,47,15,0,0,183,90,215,754,713,765,798,201,30,5,3573
511031278,17,35,40,37,41,21,4,0,0,194,8,23,30,34,29,29,0,0,0,156,181,318,703,655,708,495,84,5,3,3151
511031279,33,44,76,92,64,38,5,0,0,345,20,28,55,67,64,43,18,0,0,299,411,610,1736,1618,1513,977,191,18,0,7067
511031280,18,33,52,46,32,15,10,0,0,200,10,15,26,40,33,25,4,0,0,157,250,385,1228,1029,920,579,117,10,0,4519
511031281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511031282,3,3,18,6,9,9,3,0,0,56,4,7,17,9,27,15,6,3,0,88,72,183,655,525,633,423,94,10,0,2592
511031283,3,6,38,20,21,15,0,0,0,113,3,11,8,14,17,13,0,0,0,60,45,273,1178,937,902,564,80,9,0,3991
511031284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511041285,13,22,37,42,34,26,9,4,0,192,14,21,32,46,49,34,3,4,0,206,285,420,836,861,1070,876,206,38,0,4595
511041286,15,25,32,40,42,20,6,0,0,178,12,20,12,26,43,31,9,0,0,153,262,243,472,619,777,500,76,5,0,2966
511041287,17,25,33,25,34,15,3,0,0,156,5,12,35,29,35,14,12,4,0,148,242,266,699,728,846,474,126,9,3,3393
511041288,8,26,48,32,28,31,11,0,0,187,11,16,52,34,35,13,12,3,0,176,322,389,947,1068,1085,761,162,17,3,4763
511041289,3,3,11,12,8,9,0,0,0,50,0,5,10,12,16,21,10,7,0,74,63,68,199,292,353,317,107,19,3,1420
511041290,0,0,11,7,9,3,3,0,0,33,3,7,20,12,19,19,3,0,0,86,22,182,788,600,651,456,116,5,0,2826
511041291,4,6,13,3,10,5,6,0,0,44,4,3,10,24,16,21,10,3,0,99,50,125,433,435,510,486,149,20,3,2214
511041292,4,10,16,21,19,21,7,0,0,97,3,6,15,8,36,24,12,3,0,113,93,163,368,474,713,622,243,35,0,2712
597979799,0,0,9,5,4,3,0,0,0,23,0,4,88,105,92,48,5,0,0,351,11,104,611,661,623,361,45,3,3,2432
